metric,value,interpretation
total_events_in_event_window_table,50,Number of event rows received from Notebook 03.
rows_eligible_for_analysis,36,Rows with usable stock and TA-125 prices over the t-5 to t+5 window.
rows_excluded,14,Rows retained but excluded from return calculations due to data limitations.
rows_missing_ticker,5,Rows without Yahoo tickers available for automated price extraction.
rows_with_ticker_validation_failure,5,Rows where yfinance did not return usable stock-price data for the mapped ticker.
rows_with_future_event_date,2,Future events are not eligible for historical price extraction.
rows_with_insufficient_trading_days,2,Rows with too few trading observations before or after the event trading date.
rows_with_missing_market_prices,0,Rows with stock prices but unavailable TA-125 benchmark prices.
ta125_benchmark_availability,Available,Whether TA-125 benchmark prices were available for at least one event window.
event_window_definition,t-5_to_t+5,Trading-day window used for stock and market returns.
return_definition,market_adjusted_return = stock_return - ta125_return,Return metric prepared for dashboard analysis.
